Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
TCGA-AB-2805.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.681.Dupl_flagstats	167927957.0	9658096.0	34378371.0	38229752.0	36180054.0	71592744.0	19114876.0	71592744.0	0.0	44577762.0	91.06	3165490.0	0.0	2.21	61.48	94.57	0.0	16689168.0	27407088.0	177563859.0	16689168.0	222141621.0	0.0	43.65	0.0	130384096.0	19114876.0	0.0	130384096.0	143185488.0	4369910.0	6348010.0	11.43
TCGA-AB-2806.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.473.Dupl_flagstats	177841844.0	7879701.0	38594663.0	38876238.0	29454347.0	73256847.0	19438119.0	73256847.0	0.0	45683744.0	92.76	3341181.0	0.0	2.28	60.41	96.07	0.0	16098994.0	27598996.0	185108357.0	16098994.0	230792101.0	0.0	41.41	0.0	135906000.0	19438119.0	0.0	135906000.0	146513694.0	4692496.0	6807506.0	12.07
TCGA-AB-2808.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.91c.Dupl_flagstats	148728502.0	13290848.0	29888004.0	49435764.0	39962177.0	62577301.0	24717882.0	62577301.0	0.0	57129095.0	92.08	3593768.0	0.0	2.87	56.55	95.93	0.0	18130478.0	32309021.0	155042606.0	18130478.0	212171701.0	0.0	36.67	0.0	115246730.0	24717882.0	0.0	115246730.0	125154602.0	6485212.0	7693331.0	13.12
TCGA-AB-2810.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.ccb.Dupl_flagstats	101195848.0	2440071.0	26472832.0	24361070.0	11595362.0	59067194.0	12180535.0	59067194.0	0.0	27927605.0	61.56	2003270.0	0.0	1.7	44.16	69.98	0.0	6906816.0	12333555.0	144607220.0	6906816.0	172534825.0	0.0	28.35	0.0	72719746.0	12180535.0	0.0	72719746.0	118134388.0	1860204.0	3566535.0	7.64
TCGA-AB-2811.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.775.Dupl_flagstats	171266320.0	4879569.0	32591913.0	24294460.0	39122364.0	74815862.0	12147230.0	74815862.0	0.0	27597145.0	91.2	2206415.0	0.0	1.47	53.4	93.99	0.0	9316858.0	14737619.0	182223637.0	9316858.0	209820782.0	0.0	38.35	0.0	136467992.0	12147230.0	0.0	136467992.0	149631724.0	2118076.0	3302685.0	8.72
TCGA-AB-2812.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.d4d.1.Dupl_flagstats	174467124.0	9609781.0	37839609.0	30506790.0	53139436.0	71634108.0	15253395.0	71634108.0	0.0	35872742.0	93.02	3358907.0	0.0	2.34	60.86	96.33	0.0	12717608.0	21833346.0	181107825.0	12717608.0	216980567.0	0.0	41.69	0.0	133268608.0	15253395.0	0.0	133268608.0	143268216.0	3749786.0	5365952.0	12.29
TCGA-AB-2813.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.139.Dupl_flagstats	138936922.0	6754258.0	28983342.0	38284094.0	18747243.0	58660984.0	19142047.0	58660984.0	0.0	45123760.0	91.81	2243326.0	0.0	1.91	65.57	94.96	0.0	18960746.0	29586018.0	146305310.0	18960746.0	191429070.0	0.0	49.53	0.0	107710254.0	19142047.0	0.0	107710254.0	117321968.0	3785606.0	6839666.0	9.89
TCGA-AB-2814.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.2b2.Dupl_flagstats	168277134.0	9645566.0	38221621.0	29258824.0	54604820.0	69243033.0	14629412.0	69243033.0	0.0	34591042.0	91.34	3561419.0	0.0	2.57	60.15	95.23	0.0	11896674.0	20806594.0	176707687.0	11896674.0	211298729.0	0.0	40.66	0.0	126494094.0	14629412.0	0.0	126494094.0	138486066.0	3577702.0	5332218.0	12.23
TCGA-AB-2815.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.d67.Dupl_flagstats	159775445.0	8953889.0	32342789.0	35638976.0	39416756.0	68637470.0	17819488.0	68637470.0	0.0	41389174.0	89.85	4087500.0	0.0	2.98	57.08	94.2	0.0	13618888.0	23624170.0	169617729.0	13618888.0	211006903.0	0.0	38.21	0.0	123345156.0	17819488.0	0.0	123345156.0	137274940.0	4255084.0	5750198.0	11.94
TCGA-AB-2817.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.896.Dupl_flagstats	123005437.0	2378943.0	28291402.0	28544046.0	6876365.0	54024371.0	14272023.0	54024371.0	0.0	34004232.0	85.68	2135259.0	0.0	1.98	65.45	90.22	0.0	14432986.0	22255146.0	136340144.0	14432986.0	170344376.0	0.0	50.56	0.0	92578776.0	14272023.0	0.0	92578776.0	108048742.0	2361974.0	5460186.0	8.27
